title,date,summary,url,cta,body
Spotting Imposters: Are your customers who they say they are?,11/18/2020,"On this episode of the American Bankers Association podcast, iconectiv’s Kathy Timko, Head of LNPA Services, joins Paul Benda of the American Bankers Association to discuss the rising trend of phone number account takeover and how it enables identity theft and fraud.

Kathy oversees all aspects of iconectiv’s U.S. number portability business, which includes managing the Number Portability Administration Center (NPAC), a system that supports number portability services for all telecom service providers including wireline, wireless and Voice over IP (VoIP) providers.",https://www.aba.com/news-research/podcasts/spotting-imposters-are-your-customers-who-they-say-they-are,Read Full Article,
iconectiv’s Sharon Oddy and Kim Carter join WICT leadership program,07/08/2020,"iconectiv has announced that two of its employees have been selected to take part in the Women in Cable Telecommunications’ (WICT) 2020 Rising Leaders Program.

Sharon Oddy, head of marketing and corporate communications, and Kim Carter, senior software developer, will join other industry leaders for the immersion program that prepares women to undertake increased leadership responsibilities.",https://www.capacitymedia.com/articles/3825902/iconectivs-sharon-oddy-and-kim-carter-join-wict-leadership-program,Read Full Article,
iconectiv’s Sharon Oddy and Kim Carter Selected to Take Part in Esteemed Women in Cable Telecommunications (WICT) Leadership Program,07/07/2020,"Women in Cable Telecommunications (WICT) Leadership Program
iconectiv leaders to attend immersive leadership development program for the fourth consecutive year

What’s the News: iconectiv’s Head of Marketing and Corporate Communications Sharon Oddy and Senior Software Developer Kim Carter have been selected to participate in the Women in Cable Telecommunications (WICT) 2020 Rising Leaders Program.
Why it Matters: This is the fourth consecutive year iconectiv has taken part in this competitive program aimed at developing strategic practices, building alliances and effective advocates for diverse leadership in the telecommunications industry.
Who’s it for: For all members of WICT and all stakeholders in the cable and telecommunications industry including service providers, mobile network operators (MNOs), application providers and enterprises.",https://iconectiv.com/news-events/iconectivs-sharon-oddy-and-kim-carter-selected-take-part-esteemed-women-cable,Read Full Article,
Telehealth during COVID-19: How to Increase Security while Maximizing Efficiency,07/02/2020,"As COVID-19 cases continued to rise worldwide, technology followed suit with many industries, including healthcare, amplifying their usage. Frontline heroes turned to telehealth technology with increased frequency compared to years prior as more than 46% of patient services were offered virtually. Although treating patients remotely is not new, (the earliest record shows telehealth in use in the late 1950s and early 1960s) privacy and security regulations have evolved to help safeguard patients seeking care. Since doctors and patients are continuing to maintain physical distance and leveraging communications to bridge this gap, it is more important than ever to confirm that the right patients are being reached.",https://iconectiv.com/news-events/telehealth-during-covid-19-how-increase-security-while-maximizing-efficiency,Read Full Article,
"Enabling the world of tomorrow, today",06/18/2020,"In these days when ‘in-person’ is not often a viable option, the importance of adapting our means of communication via technology cannot be understated. The need and ability to connect is mission critical in a world without boundaries. Yet, while technological advances make communications simpler and more ubiquitous, interconnecting it across the infrastructure and delivering it to the right person is enormously complex. That’s what iconectiv does best. Efficiently interconnecting disparate applications, networks and devices in a world where accessing and exchanging information anywhere, anytime needs to be simple, seamless and secure.",https://businessviewmagazine.com/iconectiv-enabling-world-tomorrow-today/,Read Full Article,
Webinar to Explore How Phone Number Data Can Be Used for Risk Assessment and Fraud Mitigation,06/10/2020,"Mobile phone numbers are the primary personal identifier in the U.S., with the vast number of Americans owning a mobile phone. Now as consumers use their mobile phone numbers to register for products and services, this data has become an attractive target for fraudsters. This is why organizations are looking to use mobile phone numbers to better assess risk, mitigate fraud and protect both their business and customers. The challenge is that many of these businesses are unaware of where this phone number data comes from, how to verify if it is accurate or if it has been obtained legitimately",https://iconectiv.com/news-events/webinar-explore-how-phone-number-data-can-be-used-risk-assessment-and-fraud-mitigation,Read Full Article,
Analyst Report Outlines How Phone Number Data Can be Used for Fraud Mitigation and Risk Assessment,05/27/2020,"Analyst Report Outlines How Phone Number Data Can be Used for Fraud Mitigation and Risk Assessment

What’s the News: Black Swan Telecom Journal explores how leveraging phone number information can provide critical information for businesses to better assess risk, mitigate fraud and protect both their business and their customers.
Why it Matters: The phone number is one of the top personal identifiers that consumers use to register for products and services making it an attractive target for identity thieves. Companies can now use phone number porting data as part of their fraud mitigation and risk assessment strategies. 
Who’s it for: Telecom operators, large enterprises, identity aggregators, credit bureaus and service providers.",https://iconectiv.com/news-events/analyst-report-outlines-how-phone-number-data-can-be-used-fraud-mitigation-and-risk,Read Full Article,
The Genius is Within: Real Innovation Begins by Listening to the Right Voices,04/22/2020,"I recently came across a 1984 article written about Mervin J. Kelly, the legendary American physicist whose career with Bell Labs spanned 23 years and multiple positions, from Director of Research to Chairman of the Board and everything in between. Described as a motivator who asked the right questions and found the best people to answer them, he is hailed as the driving force that steered the famed research enterprise into solid-state physics, a novel field of study that resulted in the 1948 invention of the transistor and the semiconductor chip.

The building block for all digital communications, from home computers to space shuttles, its inventors, Bell Lab physicists William Shockley, John Bardeen and Walter Brattain, won the Nobel Prize in 1956. Upon Kelly’s retirement in 1959, he, too, won a top prize, the John Fritz Medal, the highest honor reserved for engineering greats such as Alexander Graham Bell, Alfred Nobel, Charles Kettering, George Westinghouse and Orville Wright.",https://iconectiv.com/news-events/genius-within-real-innovation-begins-listening-right-voices,Read Full Article,
Black Swan Solution Guide: Getting Porting History and Carrier Data to Verify Identity and Mitigate Account Takeovers,03/06/2020,"Not all risk intelligence sources are of equal value.  Some are so important that ignoring them might prove disastrous. One intelligence source of increasing importance is getting real-time notice of changes to telephone number ports and the carrier-of-record.  There are good reasons why this intelligence is so vital.

Indeed, checking on the security and stability of the smartphone account is now considered critical by enterprises and identity aggregators in banking, e-commerce, insurance, healthcare and many other industries. For instance, when a customer wants to do a large banking transaction using a smartphone, it would benefit the financial institution to know that the phone number was just ported a few minutes ago: that could indicate an increased risk and alert the bank that further identity checks are advisable.",http://bswan.org/portdata_validate_guide.asp,Read Full Article,
iconectiv awarded Chile MNP administration contract,02/04/2020,"Chile’s Ministry of Transportation and Telecommunication has awarded a 5-year contract to manage the country’s mobile number portability (MNP) database Telcordia Technologies Chile, S.A. Under the terms of the contract, Telcordia Technologies Chile, S.A. will now continue as the MNP database manager until 2025.

In November, telecom regulator Subtel said a total of 19.3 million mobile numbers have been ported in Chile since the introduction of number portability in January 2012.",https://www.telecompaper.com/news/iconectiv-awarded-chile-mnp-administration-contract--1325197,Read Full Article,
3 Key Risk Factors Financial Institutions Need to Be Aware Of in 2020,01/02/2020,"As technology evolves, so do the methods that cybercriminals utilize to commit identity theft and fraud. Last year alone, the Federal Trade Commission processed 1.4M fraud reports amounting to $1.48B in losses. Given that federal law states that financial institutions are held responsible for returning consumers’ money if their account was hacked, it is extremely critical to ensure financial institutions are utilizing an authorized source to provide data in order to assess risk properly while validating the identity of potential customers.",https://iconectiv.com/news-events/3-key-risk-factors-financial-institutions-need-be-aware-2020,Read Full Article,
Putting Trust Back into Communications takes Center Stage at Communications Fraud Conference,10/13/2019,"Robocalls make up nearly half of all phone calls so frustrated consumers simply don’t answer incoming calls and businesses can’t get through to customers when they need to reach them. At the same time, phone numbers have become the defacto personal identifier for consumers and—if verified— can provide valuable information for companies looking to mitigate risk. As communications security professionals gather at this year’s Communications Fraud Control Association’s (CFCA) annual convention, iconectiv will highlight the role of trusted communications and how the industry is working together to maintain the integrity of the phone number to protect businesses and businesses.",https://iconectiv.com/news-events/putting-trust-back-communications-takes-center-stage-communications-fraud-conference,Read Full Article,
"“At the end of the day, it’s not about being the smartest person in the room” with Kathy Timko and Fotis Georgiadis",09/24/2019,"At the end of the day, it’s not about being the smartest person in the room. It’s about surrounding yourself with smart talented people who can use their unique skills to drive projects forward and get the best possible result. Everyone has a voice and should communicate their ideas openly. A leader must be able to listen, respond, stay on track and move in a direction that will allow the whole team to be successful. The bottom line: Successful projects require great leadership and the skillsets to execute. Success in almost everything requires ruthless planning, focused execution and a relentless — “never give up” drive to the finish line. “Good luck” is often the result of good planning.",https://medium.com/authority-magazine/at-the-end-of-the-day-its-not-about-being-the-smartest-person-in-the-room-it-s-about-4eb357bfd84f,Read Full Article,
Businesses authorized to leverage number porting information,09/16/2019,"With the introduction of PortData Validate from iconectiv, financial institutions, healthcare providers and other authorized businesses can leverage telephone number porting data as part of their assessment when verifying a customer´s identity, approving a transaction or disclosing information, the company said.

The data, exclusively available from iconectiv or an authorized reseller of iconectiv´s PortData Validate service, is the nation´s only authorized service for businesses who need access to accurate and up-to-date phone number porting information for fraud mitigation and risk assessment.",https://financial-news.co.uk/businesses-authorized-to-leverage-number-porting-inform/,Read Full Article,
iconectiv launches PortData Validate platform,08/22/2019,"iconectiv, a subsidiary of Ericsson's Telcordia Technologies, launched PortData Validate, a platform that allows financial institutions, healthcare providers and other authorized businesses to leverage telephone number porting data as part of their assessment when verifying a customer’s identity, approving a transaction or disclosing information. The data, exclusively available from iconectiv or an authorized reseller of iconectiv’s PortData Validate service, is the nation’s only authorized service for businesses who need access to accurate and up-to-date phone number porting information for fraud mitigation and risk assessment, iconectiv says in a press release.",https://www.telecompaper.com/news/iconectiv-launches-portdata-validate-platform--1305395,Read Full Article,
Interview with Kathy Timko Who Oversaw “Largest It Project In Us Telecom Industry History”,01/28/2019,"It was called the largest IT project in United States telecom industry history, and Kathy Timko, of iconectiv (Bridgewater), was overseeing it to completion.

The final May 2018 deadline came and went. The project that she had started five years before was finally finished. But no one noticed, Timko said. Certainly not the 425 million customers in the nationwide system that includes 650 million phone numbers and 1,400 phone companies.

Timko and her team simply went about their business, directing a project to ensure that customers in the United States could keep their telephone numbers when switching providers.

“Nobody really noticed it, which is something you really want to have happen. If someone noticed, then something is broken. But no one noticed, which is the best possible outcome,” she said.",https://njtechweekly.com/interview-with-kathy-timko-who-oversaw-largest-it-project-in-us-telecom-industry-history/,Read Full Article,
Imagine: ‘Sweating the details’ was necessary to lead largest IT project in telecom industry,12/03/2018,"If you’ve ever spent hours trying to troubleshoot a technical issue with your local cable or phone company, you might appreciate the complexity involved in building a system that would serve 1,600 phone companies throughout the U.S. to make it possible for consumers to keep their phone number — even when changing carriers.

Faced with what some consider the largest IT project ever undertaken within the U.S. telecom industry, Kathy Timko, executive vice president of local number portability administration (LNPA) services at the Bridgewater-based iconectiv, was undaunted by the complexity of building a new nationwide system that would manage the portability of 650 million phone numbers.",https://www.mycentraljersey.com/story/news/local/how-we-live/2018/12/03/iconectiv-telecom-kathy-timko-phone-numbers/2163321002/,Read Full Article,
Porting the World's Largest Phone Number Database,10/22/2018,"Between email, WhatsApp, Facebook Messenger, Skype and text messaging, no one really needs a phone number anymore, right?

Wrong.

Phone numbers are as important as ever—even among people who spend most of their time online. 83 percent of U.S. adult internet users had a phone conversation with a customer service rep in the past year, Forrester Research says. And a Google survey found that 47 percent of mobile search users won’t do business with a company if they can’t find its phone number.

Those are just few reasons why the North American Number Portability Administration Center (NPAC) plays such a key role in both the US economy and everyday life.",https://technews.tmcnet.com/unified-communications/topics/unified-communications/articles/439902-porting-worlds-largest-phone-number-database.htm,Read Full Article,
"How to Protect Your Customers, Brand and Revenue",09/06/2018,"The efficient administration of telephone numbers is essential for network operations and customer service organizations to run smoothly. iconectiv recognized the need for information on this topic and presented a webinar in partnership with the Competitive Carriers Association (CCA) to provide valuable insights on how to protect your customers, brand and revenue. 

Bob Grant, Principal Product Manager, discusses how immediate access to key phone number attributes helps seamlessly resolve customer service issues, efficiently manage number pooling and streamline operations. This will include a conversation about how you can aggregate real-time data from disparate systems to manage these challenges.",https://iconectiv.com/news-events/how-protect-your-customers-brand-and-revenue,Read Full Article,
One of telecom’s biggest IT projects ‘went great’—at least so far,04/08/2018,"Described as one of the biggest IT projects ever undertaken by the U.S. telecom industry, the nation’s commercial number portability services yesterday began moving from previous vendor Neustar to new vendor iconectiv. And “it went great,” said Kathy Timko, head of local number portability administration at iconectiv, in an interview this morning.

“It’s a highly orchestrated endeavor,” Timko explained.",https://www.fiercewireless.com/wireless/one-telecom-s-biggest-it-projects-went-great-at-least-so-far,Read Full Article,
Enhanced Law Enforcement Platform (ELEP),01/18/2019,"The Enhanced Law Enforcement Platform (ELEP) is a subscription-based online service that allows you to gather information on up to 100 telephone numbers per query and provides additional features.   Features include, web-based interface or API integration, telephone number searches by range and specific number, as well as, historical porting information",,,"<p><b>January 18,2019:</b> The Enhanced Law Enforcement Platform (ELEP) is a&nbsp;<strong>subscription-based</strong>&nbsp;online service that allows you to gather information on up to 100 telephone numbers per query and provides additional features.&nbsp; &nbsp;Features include, web-based interface or API integration, telephone number searches by range and specific number, as well as, historical porting information</p><p>
</p><p><strong>Start the registration process today by filling out the&nbsp;<a href=""https://lawenforcement.numberportability.com/registration/elep-registration-form/"">ELEP Registration Form.</a></strong></p>"
