name,url
Release 3.3 ASN.1 (2005/05/27),https://numberportability.com/documents/2836/lnp.asn_v_3_3_0_2005_05_27_Q6vY8n7.txt
Release 3.3 ASN.1 (2005/05/27),https://numberportability.com/documents/2836/lnp.asn_v_3_3_0_2005_05_27_Q6vY8n7.txt
Release 3.3 GDMO (2005/05/27),https://numberportability.com/documents/2837/lnp.mo_v_3_3_0_2005_05_27_hlv3mr3.txt
Release 3.3 GDMO (2005/05/27),https://numberportability.com/documents/2837/lnp.mo_v_3_3_0_2005_05_27_hlv3mr3.txt
Release 3.3 Interop Test Plan,https://numberportability.com/documents/1689/r3.3.1_itp_document_2007-053107_I5qPHAv.zip
Release 3.3 Interop Test Plan,https://numberportability.com/documents/1689/r3.3.1_itp_document_2007-053107_I5qPHAv.zip
Release 3.3 Certification & Regression Test Plan,https://numberportability.com/documents/1690/cert__regression_test_plan_thru_3.3_332a_final_2TZStgv.zip
Release 3.3 Certification & Regression Test Plan,https://numberportability.com/documents/1690/cert__regression_test_plan_thru_3.3_332a_final_2TZStgv.zip
Release 3.3 SOW49 Project Plan (MS Project),https://numberportability.com/documents/2831/sow_49_project_plan_v12_VVuUCtH.mpp
Release 3.3 SOW49 Project Plan (MS Project),https://numberportability.com/documents/2831/sow_49_project_plan_v12_VVuUCtH.mpp
Release 3.3 SOW49 Project Plan (MS Word - 2005/12/1),https://numberportability.com/documents/2833/word__3.3_project_plan_v12_-_12-1-05_cjD1fza.pdf
Release 3.3 SOW49 Project Plan (MS Word - 2005/12/1),https://numberportability.com/documents/2833/word__3.3_project_plan_v12_-_12-1-05_cjD1fza.pdf
Release 3.3 XML - US (2009/05),https://numberportability.com/documents/2821/xml-us-2009-05_u4iLIbS.pdf
Release 3.3 XML - US (2008/09),https://numberportability.com/documents/2823/xml-us-2008-09_uWOSDgi.pdf
Release 3.3 ITP Testing Registration Form (2007/08/13),https://numberportability.com/documents/2869/Release_3.3_ITP_Testing_Registration_Form_20070813_mnKFKCy.pdf
NANC 399 XML 2006,https://numberportability.com/documents/2870/NANC_399_XML_2006_mczPiBi.txt
NANC 399 - XML with changebars (2006/05/24),https://numberportability.com/documents/2872/NANC_399_-_XML_2006-05-24_with_changebars_6uCprM4.pdf
Release 3.3 XML - US (2009/12),https://numberportability.com/documents/2787/XML_-_US-2009-12_qN4jpLZ.pdf
Release 3.3 XML - US (2009/12),https://numberportability.com/documents/2787/XML_-_US-2009-12_qN4jpLZ.pdf
Release 3.3.3a FRS (2007/02/28),https://numberportability.com/documents/2825/frs_3.3.3a_02-28-07_Jpkjqej.zip
Release 3.3.3 IIS - Parts 1 & 2 (2007/02/28),https://numberportability.com/documents/2824/iis3_3_3aparts_1and2_022807_IRPPG98.zip
